Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.50      0.22     0.22  3885116     0.00     0.00  sphere::hit(ray const&, interval, hit_record&) const
 12.00      0.34     0.12                             _init
  9.00      0.43     0.09 11811749     0.00     0.00  ray::direction() const
  6.00      0.49     0.06     8519     0.01     0.09  hittable_list::hit(ray const&, interval, hit_record&) const
  5.00      0.54     0.05 10335368     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::base() const
  5.00      0.59     0.05  6063312     0.00     0.00  dot(vec3 const&, vec3 const&)
  5.00      0.64     0.05  4259973     0.00     0.00  operator-(vec3 const&, vec3 const&)
  5.00      0.69     0.05  3944759     0.00     0.00  interval::interval(double, double)
  4.00      0.73     0.04 11244044     0.00     0.00  vec3::length_squared() const
  3.00      0.76     0.03  5070794     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::operator*() const
  3.00      0.79     0.03  4812059     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > > const&)
  3.00      0.82     0.03  2959109     0.00     0.00  ray::origin() const
  2.00      0.84     0.02  5284336     0.00     0.00  vec3::vec3(double, double, double)
  2.00      0.86     0.02  4091049     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::get() const
  2.00      0.88     0.02     2662     0.01     0.31  camera::ray_color(ray const&, int, hittable const&) const
  1.00      0.89     0.01  4519885     0.00     0.00  std::__shared_ptr_access<hittable, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  1.00      0.90     0.01    71658     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  1.00      0.91     0.01    50680     0.00     0.00  std::log(long double)
  1.00      0.92     0.01    50087     0.00     0.00  operator*(double, vec3 const&)
  1.00      0.93     0.01    45991     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
